id,what_is_emotion_of_it_only_choice_one,what_is_emotion_of_it_only_choice_one:confidence,,,,,,,,88.1062
2687782393,angry,1,,,,,,,,
2687782396,angry,1,,,,,,,,0.1667
2687782398,angry,0.6667,,,,,,,,
2687782399,angry,1,,,,,,,,
2687782403,angry,0.6667,,,,,,,,
2687782405,angry,0.6364,,,,,,,,
2687782408,angry,1,,,,,,,,
2687782409,angry,1,,,,,,,,
2687782410,angry,1,,,,,,,,
2687782411,angry,0.7,,,,,,,,
2687782450,angry,0.6667,,,,,,,,
2687782486,angry,1,,,,,,,,
2687782511,angry,0.6522,sum=,10.9887,,percentage,0.124721075,,,
2687782395,excitement,0.6364,,,,,,,,
2687782404,excitement,0.6667,,,,,,,,
2687782415,excitement,0.6667,,,,,,,,
2687782416,excitement,1,,,,,,,,
2687782419,excitement,0.7143,,,,,,,,
2687782420,excitement,1,,,,,,,,
2687782422,excitement,0.6364,,,,,,,,
2687782425,excitement,0.7143,,,,,,,,
2687782426,excitement,0.7,,,,,,,,
2687782429,excitement,0.7143,,,,,,,,
2687782441,excitement,0.3636,,,,,,,,
2687782458,excitement,0.6364,,,,,,,,
2687782478,excitement,0.7,,,,,,,,
2687782483,excitement,0.6818,,,,,,,,
2687782491,excitement,0.7143,,,,,,,,
2687782497,excitement,0.7143,,,,,,,,
2687782500,excitement,0.381,,,,,,,,
2687782502,excitement,0.6667,,,,,,,,
2687782392,fear,0.3525,sum=,12.6597,,percentage,0.143686823,,,
2687782400,fear,0.3636,,,,,,,,
2687782407,fear,0.35,,,,,,,,
2687782433,fear,0.6364,,,,,,,,
2687782436,fear,0.6475,,,,,,,,
2687782437,fear,0.6364,,,,,,,,
2687782438,fear,1,,,,,,,,
2687782439,fear,0.6818,,,,,,,,
2687782440,fear,1,,,,,,,,
2687782443,fear,1,,,,,,,,
2687782444,fear,1,,,,,,,,
2687782445,fear,1,,,,,,,,
2687782446,fear,1,,,,,,,,
2687782451,fear,0.6667,,,,,,,,
2687782453,fear,1,,,,,,,,
2687782473,fear,0.35,,,,,,,,
2687782481,fear,0.3333,sum=,11.6657,,percentage,0.132404984,,,
2687782391,happy,0.6818,,,,,,,,
2687782397,happy,0.3636,,,,,,,,
2687782402,happy,0.3636,,,,,,,,
2687782421,happy,0.6818,,,,,,,,
2687782423,happy,0.65,,,,,,,,
2687782427,happy,0.6667,,,,,,,,
2687782447,happy,0.3636,,,,,,,,
2687782448,happy,0.3333,,,,,,,,
2687782449,happy,0.3636,,,,,,,,
2687782452,happy,0.3387,,,,,,,,
2687782454,happy,1,,,,,,,,
2687782455,happy,1,,,,,,,,
2687782456,happy,0.6818,,,,,,,,
2687782459,happy,1,,,,,,,,
2687782460,happy,1,,,,,,,,
2687782461,happy,1,,,,,,,,
2687782462,happy,1,,,,,,,,
2687782463,happy,0.6621,,,,,,,,
2687782464,happy,1,,,,,,,,
2687782465,happy,1,,,,,,,,
2687782466,happy,0.6667,,,,,,,,
2687782467,happy,1,,,,,,,,
2687782468,happy,1,,,,,,,,
2687782469,happy,0.6818,,,,,,,,
2687782470,happy,1,,,,,,,,
2687782471,happy,1,,,,,,,,
2687782472,happy,1,,,,,,,,
2687782474,happy,1,,,,,,,,
2687782484,happy,0.6667,,,,,,,,
2687782489,happy,1,,,,,,,,
2687782492,happy,0.6667,sum=,23.8325,,percentage,0.270497422,,,
2687782394,pleasant,0.3333,,,,,,,,
2687782401,pleasant,0.3525,,,,,,,,
2687782413,pleasant,0.35,,,,,,,,
2687782424,pleasant,0.65,,,,,,,,
2687782430,pleasant,0.3636,,,,,,,,
2687782434,pleasant,0.381,,,,,,,,
2687782435,pleasant,0.3333,,,,,,,,
2687782457,pleasant,0.35,,,,,,,,
2687782476,pleasant,0.7,,,,,,,,
2687782477,pleasant,1,,,,,,,,
2687782479,pleasant,0.6475,,,,,,,,
2687782482,pleasant,1,,,,,,,,
2687782485,pleasant,0.3636,,,,,,,,
2687782487,pleasant,0.35,,,,,,,,
2687782488,pleasant,0.6667,,,,,,,,
2687782493,pleasant,0.6818,,,,,,,,
2687782495,pleasant,0.6667,,,,,,,,
2687782515,pleasant,0.3333,sum=,9.5233,,percentage,0.108088875,,,
2687782406,surprise,1,,,,,,,,
2687782412,surprise,0.3387,,,,,,,,
2687782414,surprise,0.3636,,,,,,,,
2687782417,surprise,0.3478,,,,,,,,
2687782418,surprise,0.3333,,,,,,,,
2687782428,surprise,0.3333,,,,,,,,
2687782431,surprise,0.3333,,,,,,,,
2687782432,surprise,0.3333,,,,,,,,
2687782442,surprise,0.3333,,,,,,,,
2687782475,surprise,0.3636,,,,,,,,
2687782480,surprise,0.6818,,,,,,,,
2687782490,surprise,0.3333,,,,,,,,
2687782494,surprise,0.6364,,,,,,,,
2687782496,surprise,1,,,,,,,,
2687782498,surprise,0.7,,,,,,,,
2687782499,surprise,1,,,,,,,,
2687782501,surprise,1,,,,,,,,
2687782503,surprise,0.7,,,,,,,,
2687782504,surprise,0.6818,,,,,,,,
2687782505,surprise,0.6364,,,,,,,,
2687782506,surprise,1,,,,,,,,
2687782507,surprise,0.65,,,,,,,,
2687782508,surprise,0.6364,,,,,,,,
2687782509,surprise,1,,,,,,,,
2687782510,surprise,1,,,,,,,,
2687782512,surprise,1,,,,,,,,
2687782513,surprise,1,,,,,,,,
2687782514,surprise,1,,,,,,,,
2687782516,surprise,0.7,sum=,19.4363,,percentage,0.22060082,,,
